crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
futures-task,274142362,39551477,2024-10-05T07:07:01.495599Z,2019-07-29T02:21:47.224744Z,0.3.31,"Tools for working with tasks.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.14427349611877935,2024-10-05 07:07:01.495599+00:00,185,2019-07-29 02:21:47.224744+00:00,2080,0
linux-raw-sys,273759998,52141321,2025-03-14T10:55:02.366307Z,2021-06-12T14:38:40.005650Z,0.9.3,Generated bindings for Linux's userspace API,https://github.com/sunfishcode/linux-raw-sys,51,39,4,Other,0.19046362281168633,2025-03-14 10:55:02.366307+00:00,25,2021-06-12 14:38:40.005650+00:00,1396,0
chrono,273558566,39283642,2025-02-26T08:32:17.218741Z,2014-11-20T04:21:11.545166Z,0.4.40,Date and time library for Rust,https://github.com/chronotope/chrono,3485,562,178,Other,0.14360231000772244,2025-02-26 08:32:17.218741+00:00,41,2014-11-20 04:21:11.545166+00:00,3792,0
fnv,270495864,39720167,2020-05-14T16:06:29.223002Z,2015-04-06T18:59:35.782519Z,1.0.7,Fowler–Noll–Vo hash function,https://github.com/servo/rust-fnv,345,30,8,Apache License 2.0,0.14684204931133438,2020-05-14 16:06:29.223002+00:00,1790,2015-04-06 18:59:35.782519+00:00,3654,0
futures-sink,270437780,38913175,2024-10-05T07:06:58.039843Z,2018-03-05T22:41:47.740444Z,0.3.31,"The asynchronous `Sink` trait for the futures-rs library.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.14388956676097547,2024-10-05 07:06:58.039843+00:00,185,2018-03-05 22:41:47.740444+00:00,2590,0
futures-channel,269082418,38542273,2024-10-05T07:07:06.660085Z,2018-03-05T22:36:02.312563Z,0.3.31,"Channels for asynchronous communication using futures-rs.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.14323593970379736,2024-10-05 07:07:06.660085+00:00,185,2018-03-05 22:36:02.312563+00:00,2590,0
typenum,268290768,39261517,2025-02-18T07:41:11.193331Z,2015-09-26T03:09:06.865219Z,1.18.0,"Typenum is a Rust library for type-level numbers evaluated at
    compile time. It currently supports bits, unsigned integers, and signed
    integers. It also provides a type-level array of type-level numbers, but its
    implementation is incomplete.",https://github.com/paholg/typenum,543,47,22,Other,0.14633942603645608,2025-02-18 07:41:11.193331+00:00,49,2015-09-26 03:09:06.865219+00:00,3482,0
unicode-normalization,266398129,27720252,2024-09-17T15:27:12.950740Z,2015-04-15T01:55:51.148249Z,0.1.24,"This crate provides functions for normalization of
Unicode strings, including Canonical and Compatible
Decomposition and Recomposition, as described in
Unicode Standard Annex #15.
",https://github.com/unicode-rs/unicode-normalization,175,43,16,Other,0.10405573081183314,2024-09-17 15:27:12.950740+00:00,203,2015-04-15 01:55:51.148249+00:00,3646,0
tracing,265793761,40409686,2024-11-27T17:13:14.607037Z,2017-11-27T18:43:02.901436Z,0.1.41,"Application-level tracing for Rust.
",https://github.com/tokio-rs/tracing,5827,773,751,MIT License,0.1520339899927147,2024-11-27 17:13:14.607037+00:00,132,2017-11-27 18:43:02.901436+00:00,2688,0
tracing-core,265559144,40347392,2024-11-25T22:10:20.575707Z,2019-06-20T17:36:00.464363Z,0.1.33,"Core primitives for application-level tracing.
",https://github.com/tokio-rs/tracing,5827,773,751,MIT License,0.15193373269797858,2024-11-25 22:10:20.575707+00:00,133,2019-06-20 17:36:00.464363+00:00,2119,0
spin,264341472,40125901,2025-03-26T19:10:27.894178Z,2015-01-27T15:50:37.555349Z,0.10.0,Spin-based synchronization primitives,https://github.com/mvdnes/spin-rs,514,93,11,MIT License,0.15179570839342227,2025-03-26 19:10:27.894178+00:00,12,2015-01-27 15:50:37.555349+00:00,3724,0
rustls,263835363,50954271,2025-03-17T13:41:39.344085Z,2016-08-27T06:58:30.801463Z,0.23.25,Rustls is a modern TLS library written in Rust.,https://github.com/rustls/rustls,6588,700,127,Other,0.19312904237177636,2025-03-17 13:41:39.344085+00:00,22,2016-08-27 06:58:30.801463+00:00,3146,0
futures,263462092,35430167,2024-10-05T07:07:45.246157Z,2016-07-31T20:58:03.676528Z,0.3.31,"An implementation of futures and streams featuring zero allocations,
composability, and iterator-like interfaces.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.13447918344169224,2024-10-05 07:07:45.246157+00:00,185,2016-07-31 20:58:03.676528+00:00,3172,0
num-integer,262844004,32841282,2024-02-08T01:42:29.084925Z,2016-04-14T07:26:07.694449Z,0.1.46,Integer traits and functions,https://github.com/rust-num/num-integer,181,50,15,Apache License 2.0,0.1249459051765168,2024-02-08 01:42:29.084925+00:00,425,2016-04-14 07:26:07.694449+00:00,3281,0
