crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
pin-project,209272535,30157688,2025-03-03T16:49:30.727281Z,2019-01-08T15:11:01.560092Z,1.1.10,"A crate for safe and ergonomic pin-projection.
",https://github.com/taiki-e/pin-project,643,34,4,Apache License 2.0,0.1441072427397126,2025-03-03 16:49:30.727281+00:00,36,2019-01-08 15:11:01.560092+00:00,2282,0
pin-project-internal,209173851,30153351,2025-03-03T16:48:37.574097Z,2019-08-11T15:42:07.442573Z,1.1.10,"Implementation detail of the `pin-project` crate.
",https://github.com/taiki-e/pin-project,643,34,4,Apache License 2.0,0.1441544956783341,2025-03-03 16:48:37.574097+00:00,36,2019-08-11 15:42:07.442573+00:00,2067,0
want,209047597,31286446,2023-06-14T21:50:52.862160Z,2018-03-15T19:26:09.951353Z,0.3.1,Detect when another Future wants a result.,https://github.com/seanmonstar/want,39,4,1,MIT License,0.14966183036296754,2023-06-14 21:50:52.862160+00:00,663,2018-03-15 19:26:09.951353+00:00,2580,0
try-lock,206735462,31535899,2023-12-07T16:13:16.960779Z,2018-03-15T19:23:44.274814Z,0.2.5,A lightweight atomic lock.,https://github.com/seanmonstar/try-lock,37,7,1,MIT License,0.15254228130440436,2023-12-07 16:13:16.960779+00:00,488,2018-03-15 19:23:44.274814+00:00,2580,0
gimli,206523526,32597674,2024-10-04T08:32:55.705085Z,2016-06-15T02:48:38.339028Z,0.31.1,A library for reading and writing the DWARF debugging format.,https://github.com/gimli-rs/gimli,881,112,54,Apache License 2.0,0.1578400031771683,2024-10-04 08:32:55.705085+00:00,186,2016-06-15 02:48:38.339028+00:00,3219,0
subtle,206305437,35233114,2024-06-24T17:25:24.458503Z,2017-05-31T04:19:18.671882Z,2.6.1,Pure-Rust traits and utilities for constant-time cryptographic implementations.,https://github.com/dalek-cryptography/subtle,269,90,37,"BSD 3-Clause ""New"" or ""Revised"" License",0.170781315860328,2024-06-24 17:25:24.458503+00:00,288,2017-05-31 04:19:18.671882+00:00,2869,0
time-macros,206187214,34560354,2025-03-23T21:44:47.804411Z,2019-12-02T06:06:16.262989Z,0.2.22,"    Procedural macros for the time crate.
    This crate is an implementation detail and should not be relied upon directly.
",https://github.com/time-rs/time,1168,282,18,Apache License 2.0,0.1676163779971342,2025-03-23 21:44:47.804411+00:00,15,2019-12-02 06:06:16.262989+00:00,1954,0
errno,204769512,42780844,2025-04-04T11:12:25.745222Z,2015-03-19T21:26:09.647306Z,0.3.11,Cross-platform interface to the `errno` variable.,https://github.com/lambda-fairy/rust-errno,69,43,2,Apache License 2.0,0.20892194146558302,2025-04-04 11:12:25.745222+00:00,4,2015-03-19 21:26:09.647306+00:00,3672,0
arrayvec,204528643,31881179,2024-08-17T12:14:16.953307Z,2015-05-19T15:27:57.651929Z,0.7.6,"A vector with fixed capacity, backed by an array (it can be stored on the stack too). Implements fixed capacity ArrayVec and ArrayString.",https://github.com/bluss/arrayvec,804,140,64,Apache License 2.0,0.1558763532206098,2024-08-17 12:14:16.953307+00:00,234,2015-05-19 15:27:57.651929+00:00,3612,0
clap_derive,204317283,38378485,2025-03-10T20:46:30.053858Z,2020-05-03T07:51:45.713663Z,4.5.32,"Parse command line argument by defining a struct, derive crate.",https://github.com/clap-rs/clap,14896,1091,352,Apache License 2.0,0.18783768282588215,2025-03-10 20:46:30.053858+00:00,28,2020-05-03 07:51:45.713663+00:00,1801,0
adler,203904620,16438501,2021-02-26T12:12:02.566Z,2020-06-25T22:07:19.741753Z,1.0.2,A simple clean-room implementation of the Adler-32 checksum,https://github.com/jonas-schievink/adler,11,7,1,BSD Zero Clause License,0.08061858039312694,2021-02-26 12:12:02.566000+00:00,1502,2020-06-25 22:07:19.741753+00:00,1747,0
walkdir,203433450,31060035,2024-03-01T17:55:09.221032Z,2015-09-27T05:01:40.286066Z,2.5.0,Recursively walk a directory.,https://github.com/BurntSushi/walkdir,1356,113,44,The Unlicense,0.15267909480962938,2024-03-01 17:55:09.221032+00:00,402,2015-09-27 05:01:40.286066+00:00,3481,0
crypto-common,203106702,35171325,2025-02-22T18:52:29.741408Z,2021-02-10T22:26:47.773408Z,0.2.0-rc.2,Common cryptographic traits,https://github.com/RustCrypto/traits,641,212,57,,0.17316673774753136,2025-02-22 18:52:29.741408+00:00,44,2021-02-10 22:26:47.773408+00:00,1517,0
httpdate,202988831,29358686,2023-08-13T10:55:54.391658Z,2016-10-15T10:48:40.752919Z,1.0.3,HTTP date parsing and formatting,https://github.com/pyfisch/httpdate,51,15,3,Apache License 2.0,0.14463202657687113,2023-08-13 10:55:54.391658+00:00,604,2016-10-15 10:48:40.752919+00:00,3097,0
tower-service,202981287,31940989,2024-08-13T16:23:33.548845Z,2018-02-19T17:50:18.964360Z,0.3.3,"Trait representing an asynchronous, request / response based, client or server.
",https://github.com/tower-rs/tower,3742,292,83,MIT License,0.15735927913394301,2024-08-13 16:23:33.548845+00:00,238,2018-02-19 17:50:18.964360+00:00,2604,0
rustc-demangle,202482241,30026498,2024-05-07T12:12:25.371782Z,2016-05-13T20:00:42.138724Z,0.1.24,"Rust compiler symbol demangling.
",https://github.com/rust-lang/rustc-demangle,244,54,17,Apache License 2.0,0.14829200749511656,2024-05-07 12:12:25.371782+00:00,336,2016-05-13 20:00:42.138724+00:00,3251,0
signal-hook-registry,202283270,31352109,2024-04-21T10:08:11.191480Z,2019-04-28T14:02:25.476340Z,1.4.2,Backend crate for signal-hook,https://github.com/vorner/signal-hook,763,76,21,Apache License 2.0,0.15499111221605227,2024-04-21 10:08:11.191480+00:00,352,2019-04-28 14:02:25.476340+00:00,2172,0
glob,201050521,32783738,2024-12-29T00:12:04.334018Z,2014-11-11T05:37:15.865977Z,0.3.2,"Support for matching file paths against Unix shell style patterns.
",https://github.com/rust-lang/glob,524,82,41,Apache License 2.0,0.16306218873215453,2024-12-29 00:12:04.334018+00:00,100,2014-11-11 05:37:15.865977+00:00,3801,0
hermit-abi,200467356,36074681,2025-03-05T13:22:10.717387Z,2019-10-20T07:34:22.550962Z,0.5.0,Hermit system calls definitions.,https://github.com/hermit-os/hermit-rs,1759,92,29,Apache License 2.0,0.17995289467478187,2025-03-05 13:22:10.717387+00:00,34,2019-10-20 07:34:22.550962+00:00,1997,0
reqwest,199443454,36763522,2025-03-18T16:48:20.397620Z,2016-10-16T17:29:41.599749Z,0.12.15,higher level HTTP client library,https://github.com/seanmonstar/reqwest,10484,1209,456,Apache License 2.0,0.184330552157405,2025-03-18 16:48:20.397620+00:00,21,2016-10-16 17:29:41.599749+00:00,3096,0
winapi,198259966,24102583,2020-06-26T11:34:33.480855Z,2014-11-29T13:35:24.366255Z,0.3.9,Raw FFI bindings for all of Windows API.,https://github.com/retep998/winapi-rs,1870,393,277,Apache License 2.0,0.12157059988601027,2020-06-26 11:34:33.480855+00:00,1747,2014-11-29 13:35:24.366255+00:00,3783,0
rustls-pemfile,196817201,42331539,2024-09-30T16:29:22.598843Z,2020-12-28T14:24:30.384877Z,2.2.0,Basic .pem file parser for keys and certificates,https://github.com/rustls/pemfile,58,19,0,Other,0.21508048475905314,2024-09-30 16:29:22.598843+00:00,190,2020-12-28 14:24:30.384877+00:00,1562,0
humantime,195875677,27411836,2025-03-12T22:26:08.298966Z,2016-05-20T21:32:51.043935Z,2.2.0,"A parser and formatter for std::time::{Duration, SystemTime}",https://github.com/chronotope/humantime,323,39,14,Apache License 2.0,0.13994507342532375,2025-03-12 22:26:08.298966+00:00,26,2016-05-20 21:32:51.043935+00:00,3244,0
backtrace,195524524,28440602,2024-09-08T22:58:38.768906Z,2015-06-10T08:23:39.379972Z,0.3.74,"A library to acquire a stack trace (backtrace) at runtime in a Rust program.
",https://github.com/rust-lang/backtrace-rs,565,258,56,Other,0.14545797845798616,2024-09-08 22:58:38.768906+00:00,211,2015-06-10 08:23:39.379972+00:00,3590,0
num-bigint,195506016,30198610,2025-01-25T00:26:55.294210Z,2016-04-14T07:41:44.715174Z,0.4.6,Big integer implementation for Rust,https://github.com/rust-num/num-bigint,555,195,70,Apache License 2.0,0.154463840130628,2025-01-25 00:26:55.294210+00:00,73,2016-04-14 07:41:44.715174+00:00,3281,0
atty,194234520,13035945,2020-01-05T22:19:33.123499Z,2015-07-10T00:25:05.224059Z,0.2.14,A simple interface for querying atty,https://github.com/softprops/atty,280,51,23,MIT License,0.06711446039560837,2020-01-05 22:19:33.123499+00:00,1919,2015-07-10 00:25:05.224059+00:00,3560,0
darling_core,192508122,34639517,2025-03-28T20:05:00.260571Z,2017-05-15T19:25:03.051442Z,0.20.11,"Helper crate for proc-macro library for reading attributes into structs when
implementing custom derives. Use https://crates.io/crates/darling in your code.
",https://github.com/TedDriggs/darling,1101,71,11,MIT License,0.1799379508777297,2025-03-28 20:05:00.260571+00:00,10,2017-05-15 19:25:03.051442+00:00,2884,0
darling_macro,192483213,34628921,2025-03-28T20:05:07.944299Z,2017-05-15T19:25:34.841634Z,0.20.11,"Internal support for a proc-macro library for reading attributes into structs when
implementing custom derives. Use https://crates.io/crates/darling in your code.
",https://github.com/TedDriggs/darling,1101,71,11,MIT License,0.17990618745542242,2025-03-28 20:05:07.944299+00:00,10,2017-05-15 19:25:34.841634+00:00,2884,0
darling,192478558,34631726,2025-03-28T20:05:16.077464Z,2017-05-15T19:26:00.393283Z,0.20.11,"A proc-macro library for reading attributes into structs when
implementing custom derives.
",https://github.com/TedDriggs/darling,1101,71,11,MIT License,0.17992511145059598,2025-03-28 20:05:16.077464+00:00,10,2017-05-15 19:26:00.393283+00:00,2884,0
same-file,192167309,30030150,2020-01-11T17:02:30.960838Z,2017-01-08T23:00:41.755668Z,1.0.6,"A simple crate for determining whether two file paths point to the same file.
",https://github.com/BurntSushi/same-file,112,20,5,The Unlicense,0.15627085666272197,2020-01-11 17:02:30.960838+00:00,1914,2017-01-08 23:00:41.755668+00:00,3011,0
addr2line,191576480,30293019,2024-10-04T09:02:01.134792Z,2016-12-03T21:33:01.794743Z,0.24.2,"A cross-platform symbolication library written in Rust, using `gimli`",https://github.com/gimli-rs/addr2line,349,68,9,Apache License 2.0,0.15812493788381538,2024-10-04 09:02:01.134792+00:00,186,2016-12-03 21:33:01.794743+00:00,3047,0
paste,191369781,30886103,2024-05-07T01:50:22.784771Z,2018-11-01T02:52:18.319383Z,1.0.15,Macros for all your token pasting needs,https://github.com/dtolnay/paste,1044,61,12,Apache License 2.0,0.16139488083544393,2024-05-07 01:50:22.784771+00:00,336,2018-11-01 02:52:18.319383+00:00,2350,0
hmac,190914658,27365003,2025-03-07T13:57:48.652087Z,2016-10-06T21:23:44.676009Z,0.13.0-pre.5,Generic implementation of Hash-based Message Authentication Code (HMAC),https://github.com/RustCrypto/MACs,280,36,2,,0.14333631208139083,2025-03-07 13:57:48.652087+00:00,32,2016-10-06 21:23:44.676009+00:00,3105,0
iana-time-zone,190343310,35825363,2025-03-31T15:30:18.770020Z,2020-06-27T11:01:58.126511Z,0.1.63,get the IANA time zone for the current system,https://github.com/strawlab/iana-time-zone,41,19,4,Other,0.18821445839099887,2025-03-31 15:30:18.770020+00:00,8,2020-06-27 11:01:58.126511+00:00,1746,0
encoding_rs,189421055,29025138,2024-10-24T09:22:44.123986Z,2016-07-09T12:27:23.194308Z,0.8.35,A Gecko-oriented implementation of the Encoding Standard,https://github.com/hsivonen/encoding_rs,406,56,21,Other,0.15323079052642802,2024-10-24 09:22:44.123986+00:00,166,2016-07-09 12:27:23.194308+00:00,3195,0
serde_urlencoded,188501537,29198758,2022-01-17T11:26:21.628923Z,2016-09-11T11:46:40.652101Z,0.7.1,`x-www-form-urlencoded` meets Serde,https://github.com/nox/serde_urlencoded,243,71,17,Apache License 2.0,0.15489930991915465,2022-01-17 11:26:21.628923+00:00,1177,2016-09-11 11:46:40.652101+00:00,3131,0
rayon,187379768,27917235,2024-03-24T05:24:47.903463Z,2015-12-10T22:38:20.637638Z,1.10.0,Simple work-stealing parallelism for Rust,https://github.com/rayon-rs/rayon,11629,517,211,Apache License 2.0,0.14898745631919025,2024-03-24 05:24:47.903463+00:00,380,2015-12-10 22:38:20.637638+00:00,3406,0
unicode-segmentation,186658659,23611792,2024-09-13T17:05:55.908935Z,2015-04-14T23:28:47.673940Z,1.12.0,"This crate provides Grapheme Cluster, Word and Sentence boundaries
according to Unicode Standard Annex #29 rules.
",https://github.com/unicode-rs/unicode-segmentation,601,60,26,Other,0.12649716935982058,2024-09-13 17:05:55.908935+00:00,207,2015-04-14 23:28:47.673940+00:00,3646,0
rustversion,185614597,35749484,2025-03-04T00:13:12.711336Z,2019-07-08T03:49:21.699801Z,1.0.20,Conditional compilation according to rustc compiler version,https://github.com/dtolnay/rustversion,351,17,3,Apache License 2.0,0.19260060672922183,2025-03-04 00:13:12.711336+00:00,35,2019-07-08 03:49:21.699801+00:00,2101,0
strum_macros,184765121,35139734,2025-02-17T00:25:43.464824Z,2017-02-12T07:05:29.029980Z,0.27.1,Helpful macros for working with enums and strings,https://github.com/Peternator7/strum,1972,164,67,MIT License,0.19018597130136916,2025-02-17 00:25:43.464824+00:00,50,2017-02-12 07:05:29.029980+00:00,2977,0
rayon-core,184531847,27598813,2024-01-17T17:56:12.833437Z,2017-03-11T20:11:25.040031Z,1.12.1,Core APIs for Rayon,https://github.com/rayon-rs/rayon,11629,517,211,Apache License 2.0,0.1495612461950809,2024-01-17 17:56:12.833437+00:00,446,2017-03-11 20:11:25.040031+00:00,2949,0
winnow,183707902,50184052,2025-04-07T20:58:33.532043Z,2023-02-22T17:01:25.112233Z,0.7.6,"A byte-oriented, zero-copy, parser combinators library",https://github.com/winnow-rs/winnow,699,57,53,Other,0.2731730723265241,2025-04-07 20:58:33.532043+00:00,0,2023-02-22 17:01:25.112233+00:00,776,0
rustc-hash,183082753,42537047,2025-02-05T18:34:34.388524Z,2018-05-24T13:05:52.176874Z,2.1.1,"A speedy, non-cryptographic hashing algorithm used by rustc",https://github.com/rust-lang/rustc-hash,455,52,6,Apache License 2.0,0.23233781611313217,2025-02-05 18:34:34.388524+00:00,61,2018-05-24 13:05:52.176874+00:00,2511,0
minimal-lexical,182475461,30997714,2021-10-04T10:53:11.629475Z,2021-04-27T23:04:12.608012Z,0.2.1,Fast float parsing conversion routines.,https://github.com/Alexhuszagh/minimal-lexical,22,5,5,Other,0.16987332888557546,2021-10-04 10:53:11.629475+00:00,1282,2021-04-27 23:04:12.608012+00:00,1441,0
webpki-roots,181191095,33958610,2025-01-31T00:34:47.084757Z,2016-08-28T13:40:20.874613Z,0.26.8,Mozilla's CA root certificates for use with webpki,https://github.com/rustls/webpki-roots,109,49,0,Apache License 2.0,0.1874187580796948,2025-01-31 00:34:47.084757+00:00,67,2016-08-28 13:40:20.874613+00:00,3145,0
ipnet,177417315,30115138,2025-01-20T00:33:10.616110Z,2017-08-14T20:09:09.629621Z,2.11.0,"Provides types and useful methods for working with IPv4 and IPv6 network addresses, commonly called IP prefixes. The new `IpNet`, `Ipv4Net`, and `Ipv6Net` types build on the existing `IpAddr`, `Ipv4Addr`, and `Ipv6Addr` types already provided in Rust's standard library and align to their design to stay consistent. The module also provides useful traits that extend `Ipv4Addr` and `Ipv6Addr` with methods for `Add`, `Sub`, `BitAnd`, and `BitOr` operations. The module only uses stable feature so it is guaranteed to compile using the stable toolchain.",https://github.com/krisprice/ipnet,140,30,9,Apache License 2.0,0.16974182029527388,2025-01-20 00:33:10.616110+00:00,78,2017-08-14 20:09:09.629621+00:00,2793,0
strum,177075922,34498057,2025-02-17T00:25:58.032415Z,2017-02-12T07:07:10.075292Z,0.27.1,Helpful macros for working with enums and strings,https://github.com/Peternator7/strum,1972,164,67,MIT License,0.19482071085870162,2025-02-17 00:25:58.032415+00:00,50,2017-02-12 07:07:10.075292+00:00,2977,0
libloading,176728855,26982306,2024-11-29T16:49:13.965316Z,2015-11-08T12:22:07.864268Z,0.8.6,Bindings around the platform's dynamic library loading primitives with greatly improved memory safety.,https://github.com/nagisa/rust_libloading,1300,110,18,ISC License,0.15267629046767717,2024-11-29 16:49:13.965316+00:00,130,2015-11-08 12:22:07.864268+00:00,3439,0
zeroize,176518203,33851765,2024-05-25T19:10:18.831246Z,2018-10-03T09:33:21.998452Z,1.8.1,"Securely clear secrets from memory with a simple trait built on
stable Rust primitives which guarantee memory is zeroed using an
operation will not be 'optimized away' by the compiler.
Uses a portable pure Rust implementation that works everywhere,
even WASM!
",https://github.com/RustCrypto/utils/tree/master/zeroize,,,,,0.19177492419861084,2024-05-25 19:10:18.831246+00:00,317,2018-10-03 09:33:21.998452+00:00,2379,1
openssl-sys,175469462,25920079,2025-04-04T12:52:26.443899Z,2014-11-11T06:38:37.917011Z,0.9.107,FFI bindings to OpenSSL,https://github.com/sfackler/rust-openssl,1455,761,286,,0.14771846168879232,2025-04-04 12:52:26.443899+00:00,4,2014-11-11 06:38:37.917011+00:00,3801,0
tracing-subscriber,175013127,29997371,2024-11-29T16:29:24.377071Z,2019-06-27T22:06:39.700601Z,0.3.19,"Utilities for implementing and composing `tracing` subscribers.
",https://github.com/tokio-rs/tracing,5827,773,751,MIT License,0.17140069156069648,2024-11-29 16:29:24.377071+00:00,130,2019-06-27 22:06:39.700601+00:00,2111,0
equivalent,173405870,46074098,2025-02-14T22:14:18.212755Z,2023-02-05T22:54:27.715050Z,1.0.2,Traits for key comparison in maps.,https://github.com/indexmap-rs/equivalent,25,4,4,Apache License 2.0,0.2657009131236445,2025-02-14 22:14:18.212755+00:00,52,2023-02-05 22:54:27.715050+00:00,792,0
openssl-probe,173308746,28113244,2025-01-23T16:14:49.108354Z,2016-11-06T05:25:41.005024Z,0.1.6,"Tool for helping to find SSL certificate locations on the system for OpenSSL
",https://github.com/alexcrichton/openssl-probe,56,18,12,Apache License 2.0,0.16221480247742373,2025-01-23 16:14:49.108354+00:00,75,2016-11-06 05:25:41.005024+00:00,3075,0
instant,171702746,20142918,2024-05-17T19:56:13.760985Z,2019-04-09T08:42:23.290642Z,0.1.13,"Unmaintained, consider using web-time instead - A partial replacement for std::time::Instant that works on WASM to.",https://github.com/sebcrozet/instant,113,40,15,"BSD 3-Clause ""New"" or ""Revised"" License",0.11731273068865189,2024-05-17 19:56:13.760985+00:00,325,2019-04-09 08:42:23.290642+00:00,2191,0
event-listener,170055755,36779640,2025-01-08T02:19:54.075080Z,2020-05-16T17:53:08.377375Z,5.4.0,Notify async tasks or threads,https://github.com/smol-rs/event-listener,462,33,4,Apache License 2.0,0.2162798900866366,2025-01-08 02:19:54.075080+00:00,90,2020-05-16 17:53:08.377375+00:00,1787,0
static_assertions,169982389,25826077,2019-11-03T17:02:11.618786Z,2017-08-13T00:07:30.041787Z,1.1.0,Compile-time assertions to ensure that invariants are met.,https://github.com/nvzqz/static-assertions-rs,611,23,36,Apache License 2.0,0.15193383945203875,2019-11-03 17:02:11.618786+00:00,1983,2017-08-13 00:07:30.041787+00:00,2795,0
shlex,166395035,41798132,2024-01-22T05:15:15.585884Z,2015-06-22T23:35:40.217184Z,1.3.0,"Split a string into shell words, like Python's shlex.",https://github.com/comex/rust-shlex,117,14,7,Other,0.2511981923018316,2024-01-22 05:15:15.585884+00:00,442,2015-06-22 23:35:40.217184+00:00,3577,0
tracing-log,166228111,28828285,2023-10-25T17:01:37.024993Z,2019-06-27T22:04:20.989322Z,0.2.0,"Provides compatibility between `tracing` and the `log` crate.
",https://github.com/tokio-rs/tracing,5827,773,751,MIT License,0.17342605186676277,2023-10-25 17:01:37.024993+00:00,531,2019-06-27 22:04:20.989322+00:00,2111,0
which,165568208,20951725,2025-02-06T07:13:33.209772Z,2015-10-06T11:33:07.444737Z,7.0.2,"A Rust equivalent of Unix command ""which"". Locate installed executable in cross platforms.",https://github.com/harryfei/which-rs,225,54,3,MIT License,0.1265443725766483,2025-02-06 07:13:33.209772+00:00,61,2015-10-06 11:33:07.444737+00:00,3472,0
rustls-webpki,165484382,43575444,2025-03-25T14:53:20.448220Z,2023-01-09T16:48:34.685301Z,0.103.1,Web PKI X.509 Certificate Verification.,https://github.com/rustls/webpki,112,56,13,Other,0.2633205833285222,2025-03-25 14:53:20.448220+00:00,14,2023-01-09 16:48:34.685301+00:00,820,0
hyper-rustls,165259565,36350412,2024-12-20T15:20:05.608181Z,2016-10-08T09:37:41.910219Z,0.27.5,Rustls+hyper integration for pure rust HTTPS,https://github.com/rustls/hyper-rustls,322,153,20,Other,0.21995950431068848,2024-12-20 15:20:05.608181+00:00,109,2016-10-08 09:37:41.910219+00:00,3104,0
clap_builder,164661020,40387266,2025-04-01T16:51:55.678682Z,2023-03-28T00:41:44.344826Z,4.5.35,"A simple to use, efficient, and full-featured Command Line Argument Parser",https://github.com/clap-rs/clap,14896,1091,352,Apache License 2.0,0.2452752084251634,2025-04-01 16:51:55.678682+00:00,7,2023-03-28 00:41:44.344826+00:00,742,0
prost,164145250,36160221,2025-02-12T06:59:20.501505Z,2017-06-25T07:39:15.991516Z,0.13.5,A Protocol Buffers implementation for the Rust Language.,https://github.com/tokio-rs/prost,4190,533,213,Apache License 2.0,0.2202940444514843,2025-02-12 06:59:20.501505+00:00,55,2017-06-25 07:39:15.991516+00:00,2844,0
prost-derive,163995050,36098305,2025-02-12T06:59:07.397388Z,2017-06-25T07:38:48.366541Z,0.13.5,Generate encoding and decoding implementations for Prost annotated types.,https://github.com/tokio-rs/prost,4190,533,213,Apache License 2.0,0.22011825966698384,2025-02-12 06:59:07.397388+00:00,55,2017-06-25 07:38:48.366541+00:00,2844,0
anstyle,161777095,38606671,2024-11-01T13:59:38.779125Z,2022-05-18T20:59:53.360865Z,1.0.10,ANSI text styling,https://github.com/rust-cli/anstyle,131,24,14,Other,0.23864114385290452,2024-11-01 13:59:38.779125+00:00,158,2022-05-18 20:59:53.360865+00:00,1055,0
proc-macro-crate,161774282,28240154,2025-03-06T12:32:01.383701Z,2019-02-11T10:38:10.168331Z,3.3.0,"Replacement for crate (macro_rules keyword) in proc-macros
",https://github.com/bkchr/proc-macro-crate,69,19,4,Apache License 2.0,0.1745651635777311,2025-03-06 12:32:01.383701+00:00,33,2019-02-11 10:38:10.168331+00:00,2248,0
time-core,161224603,33134326,2025-03-18T06:52:34.086824Z,2020-12-17T01:08:57.508248Z,0.1.4,This crate is an implementation detail and should not be relied upon directly.,https://github.com/time-rs/time,1168,282,18,Apache License 2.0,0.20551656126577653,2025-03-18 06:52:34.086824+00:00,21,2020-12-17 01:08:57.508248+00:00,1573,0
bumpalo,161074983,27820551,2025-01-28T17:37:33.332880Z,2018-11-24T06:21:56.420457Z,3.17.0,A fast bump allocation arena for Rust.,https://github.com/fitzgen/bumpalo,1654,119,31,Apache License 2.0,0.17271801295176917,2025-01-28 17:37:33.332880+00:00,70,2018-11-24 06:21:56.420457+00:00,2327,0
phf_shared,159327758,28815325,2025-01-06T20:29:20.816261Z,2014-11-22T22:27:31.946226Z,0.11.3,Support code shared by PHF libraries,https://github.com/rust-phf/rust-phf,1910,122,31,MIT License,0.18085564851794375,2025-01-06 20:29:20.816261+00:00,91,2014-11-22 22:27:31.946226+00:00,3789,0
sharded-slab,159141410,27622173,2023-10-04T19:37:55.401239Z,2019-10-02T23:38:13.973505Z,0.1.7,"A lock-free concurrent slab.
",https://github.com/hawkw/sharded-slab,280,25,31,MIT License,0.17356999036265922,2023-10-04 19:37:55.401239+00:00,551,2019-10-02 23:38:13.973505+00:00,2014,0
jobserver,158335169,26861078,2025-04-01T17:06:18.381864Z,2017-05-28T20:12:06.126106Z,0.1.33,"An implementation of the GNU Make jobserver for Rust.
",https://github.com/rust-lang/jobserver-rs,72,42,15,Apache License 2.0,0.16964694685108145,2025-04-01 17:06:18.381864+00:00,7,2017-05-28 20:12:06.126106+00:00,2871,0
openssl,158261210,23836343,2025-04-04T12:52:48.999808Z,2014-11-21T06:54:00.684701Z,0.10.72,OpenSSL bindings,https://github.com/sfackler/rust-openssl,1455,761,286,,0.15061393123431824,2025-04-04 12:52:48.999808+00:00,4,2014-11-21 06:54:00.684701+00:00,3791,0
foreign-types,157954153,25138138,2019-10-13T19:24:15.900127Z,2017-01-31T04:36:40.076916Z,0.5.0,A framework for Rust wrappers over C APIs,https://github.com/sfackler/foreign-types,50,8,3,Apache License 2.0,0.15914831944937846,2019-10-13 19:24:15.900127+00:00,2003,2017-01-31 04:36:40.076916+00:00,2989,0
foreign-types-shared,157389564,25140999,2022-03-21T22:06:37.413498Z,2017-11-26T23:56:57.865334Z,0.3.1,An internal crate used by foreign-types,https://github.com/sfackler/foreign-types,50,8,3,Apache License 2.0,0.15973739529515438,2022-03-21 22:06:37.413498+00:00,1113,2017-11-26 23:56:57.865334+00:00,2689,0
opaque-debug,155699061,16045236,2024-03-01T12:08:32.543535Z,2017-11-26T15:55:55.619753Z,0.3.1,Macro for opaque Debug trait implementation,https://github.com/RustCrypto/utils,492,136,28,,0.10305287582948236,2024-03-01 12:08:32.543535+00:00,403,2017-11-26 15:55:55.619753+00:00,2690,0
zerocopy,154764701,53304875,2025-04-07T23:25:20.789148Z,2018-08-15T05:46:29.013597Z,0.9.0-alpha.0,"Zerocopy makes zero-cost memory manipulation effortless. We write ""unsafe"" so you don't have to.",https://github.com/google/zerocopy,1844,110,261,Apache License 2.0,0.3444252769240965,2025-04-07 23:25:20.789148+00:00,0,2018-08-15 05:46:29.013597+00:00,2428,0
wasm-bindgen,152155896,25193770,2025-01-12T23:18:04.182224Z,2018-03-06T04:24:26.947567Z,0.2.100,"Easy support for interacting between JS and Rust.
",https://github.com/rustwasm/wasm-bindgen,8154,1101,499,Apache License 2.0,0.16557866413536812,2025-01-12 23:18:04.182224+00:00,85,2018-03-06 04:24:26.947567+00:00,2590,0
wasm-bindgen-backend,151979354,25163604,2025-01-12T23:13:08.274393Z,2018-04-03T21:02:46.090931Z,0.2.100,"Backend code generation of the wasm-bindgen tool
",https://github.com/rustwasm/wasm-bindgen/tree/master/crates/backend,,,,,0.16557251585633137,2025-01-12 23:13:08.274393+00:00,85,2018-04-03 21:02:46.090931+00:00,2561,1
wasm-bindgen-macro,151896465,25139394,2025-01-12T23:17:11.755452Z,2018-03-06T04:21:14.486723Z,0.2.100,"Definition of the `#[wasm_bindgen]` attribute, an internal dependency
",https://github.com/rustwasm/wasm-bindgen/tree/master/crates/macro,,,,,0.1655034829151554,2025-01-12 23:17:11.755452+00:00,85,2018-03-06 04:21:14.486723+00:00,2590,1
wasm-bindgen-macro-support,151834671,25142928,2025-01-12T23:13:11.492596Z,2018-08-13T21:31:57.296968Z,0.2.100,"The part of the implementation of the `#[wasm_bindgen]` attribute that is not in the shared backend crate
",https://github.com/rustwasm/wasm-bindgen/tree/master/crates/macro-support,,,,,0.16559411519388745,2025-01-12 23:13:11.492596+00:00,85,2018-08-13 21:31:57.296968+00:00,2429,1
sync_wrapper,151718283,40204709,2024-11-20T16:29:59.416129Z,2020-05-16T18:10:10.458779Z,1.0.2,A tool for enlisting the compiler's help in proving the absence of concurrency,https://github.com/Actyx/sync_wrapper,30,9,1,Apache License 2.0,0.2649958080530084,2024-11-20 16:29:59.416129+00:00,139,2020-05-16 18:10:10.458779+00:00,1787,0
wasm-bindgen-shared,151714202,25094583,2025-01-12T23:13:03.383484Z,2018-03-06T04:18:13.413080Z,0.2.100,"Shared support between wasm-bindgen and wasm-bindgen cli, an internal
dependency.
",https://github.com/rustwasm/wasm-bindgen/tree/master/crates/shared,,,,,0.16540694720195015,2025-01-12 23:13:03.383484+00:00,85,2018-03-06 04:18:13.413080+00:00,2590,1
